Name,releaseyear,releasemonth,releaseday,releasehour,releaseminute
FOMC meeting,1997,5,20,14,15
FOMC meeting,1997,7,2,14,15
FOMC meeting,1997,8,19,14,15
FOMC meeting,1997,9,30,14,13
FOMC meeting,1997,11,12,14,12
FOMC meeting,1997,12,16,14,15
FOMC meeting,1998,2,4,14,12
FOMC meeting,1998,3,31,14,12
FOMC meeting,1998,5,19,14,15
FOMC meeting,1998,7,1,14,15
FOMC meeting,1998,8,18,14,12
FOMC meeting,1998,9,29,14,15
FOMC meeting,1998,10,15,15,15
FOMC meeting,1998,11,17,14,15
FOMC meeting,1998,12,22,14,15
FOMC meeting,1999,2,3,14,15
FOMC meeting,1999,3,30,14,15
FOMC meeting,1999,5,18,14,15
FOMC meeting,1999,6,30,14,15
FOMC meeting,1999,8,24,14,15
FOMC meeting,1999,10,5,14,15
FOMC meeting,1999,11,16,14,15
FOMC meeting,1999,12,21,14,15
FOMC meeting,2000,2,2,14,15
FOMC meeting,2000,3,21,14,15
FOMC meeting,2000,5,16,14,15
FOMC meeting,2000,6,28,14,15
FOMC meeting,2000,8,22,14,15
FOMC meeting,2000,10,3,14,15
FOMC meeting,2000,11,15,14,15
FOMC meeting,2000,12,19,14,15
FOMC meeting,2001,1,3,13,15
FOMC meeting,2001,1,31,14,15
FOMC meeting,2001,3,20,14,15
FOMC meeting,2001,4,18,10,55
FOMC meeting,2001,5,15,14,15
FOMC meeting,2001,6,27,14,12
FOMC meeting,2001,8,21,14,15
FOMC meeting,2001,9,17,8,20
FOMC meeting,2001,10,2,14,15
FOMC meeting,2001,11,6,14,20
FOMC meeting,2001,12,11,14,14
FOMC meeting,2002,1,30,14,15
FOMC meeting,2002,3,19,14,15
FOMC meeting,2002,5,7,14,15
FOMC meeting,2002,6,26,14,15
FOMC meeting,2002,8,13,14,15
FOMC meeting,2002,9,24,14,15
FOMC meeting,2002,11,6,14,14
FOMC meeting,2002,12,10,14,15
FOMC meeting,2003,1,29,14,16
FOMC meeting,2003,3,18,14,15
FOMC meeting,2003,5,6,14,13
FOMC meeting,2003,6,25,14,15
FOMC meeting,2003,8,12,14,15
FOMC meeting,2003,9,16,14,19
FOMC meeting,2003,10,28,14,15
FOMC meeting,2003,12,9,14,15
FOMC meeting,2004,1,28,14,15
FOMC meeting,2004,3,16,14,15
FOMC meeting,2004,5,4,14,15
FOMC meeting,2004,6,30,14,15
FOMC meeting,2004,8,10,14,15
FOMC meeting,2004,9,21,14,15
FOMC meeting,2004,11,10,14,15
FOMC meeting,2004,12,14,14,15
FOMC meeting,2005,2,2,14,15
FOMC meeting,2005,3,22,14,15
FOMC meeting,2005,5,3,14,15
FOMC meeting,2005,6,30,14,15
FOMC meeting,2005,8,9,14,15
FOMC meeting,2005,9,20,14,15
FOMC meeting,2005,11,1,14,15
FOMC meeting,2005,12,13,14,15
FOMC meeting,2006,1,31,14,14
FOMC meeting,2006,3,28,14,15
FOMC meeting,2006,5,10,14,15
FOMC meeting,2006,6,29,14,15
FOMC meeting,2006,8,8,14,15
FOMC meeting,2006,9,20,14,15
FOMC meeting,2006,10,25,14,15
FOMC meeting,2006,12,12,14,15
FOMC meeting,2007,1,31,14,15
FOMC meeting,2007,3,21,14,15
FOMC meeting,2007,5,9,14,15
FOMC meeting,2007,6,28,14,15
FOMC meeting,2007,8,7,14,15
FOMC meeting,2007,9,18,14,15
FOMC meeting,2007,10,31,14,15
FOMC meeting,2007,12,11,14,15
FOMC meeting,2008,1,22,8,20
FOMC meeting,2008,1,30,14,15
FOMC meeting,2008,3,18,14,15
FOMC meeting,2008,4,30,14,15
FOMC meeting,2008,6,25,14,15
FOMC meeting,2008,8,5,14,15
FOMC meeting,2008,9,16,14,15
FOMC meeting,2008,10,8,7,0
FOMC meeting,2008,10,29,14,17
FOMC meeting,2008,12,16,14,15
FOMC meeting,2009,1,28,14,15
FOMC meeting,2009,3,18,14,15
FOMC meeting,2009,4,29,14,15
FOMC meeting,2009,6,24,14,15
FOMC meeting,2009,8,12,14,15
FOMC meeting,2009,9,23,14,15
FOMC meeting,2009,11,4,14,15
FOMC meeting,2009,12,16,14,15
FOMC meeting,2010,1,27,14,15
FOMC meeting,2010,3,16,14,15
FOMC meeting,2010,4,28,14,15
FOMC meeting,2010,6,23,14,15
FOMC meeting,2010,8,10,14,15
FOMC meeting,2010,9,21,14,15
FOMC meeting,2010,11,3,14,15
FOMC meeting,2010,12,14,14,15
FOMC meeting,2011,1,26,14,15
FOMC meeting,2011,3,15,14,15
FOMC meeting,2011,4,27,12,30
FOMC meeting,2011,6,22,12,30
FOMC meeting,2011,8,9,14,15
FOMC meeting,2011,9,21,14,15
FOMC meeting,2011,11,2,12,30
FOMC meeting,2011,12,13,14,15
FOMC meeting,2012,1,25,12,30
FOMC meeting,2012,3,13,14,15
FOMC meeting,2012,4,25,12,30
FOMC meeting,2012,6,20,12,30
FOMC meeting,2012,8,1,14,15
FOMC meeting,2012,9,13,12,30
FOMC meeting,2012,10,24,14,15
FOMC meeting,2012,12,12,12,30
FOMC meeting,2013,1,30,14,15
FOMC meeting,2013,3,20,14,0
FOMC meeting,2013,5,1,14,0
FOMC meeting,2013,6,19,14,0
FOMC meeting,2013,7,31,14,0
FOMC meeting,2013,9,18,14,0
FOMC meeting,2013,10,30,14,0
FOMC meeting,2013,12,18,14,0
FOMC meeting,2014,1,29,14,0
FOMC meeting,2014,3,19,14,0
FOMC meeting,2014,4,30,14,0
FOMC meeting,2014,6,18,14,0
FOMC meeting,2014,7,30,14,0
FOMC meeting,2014,9,17,14,0
FOMC meeting,2014,10,29,14,0
FOMC meeting,2014,12,17,14,0
FOMC meeting,2015,1,28,14,0
FOMC meeting,2015,3,18,14,0
FOMC meeting,2015,4,29,14,0
FOMC meeting,2015,6,17,14,0
FOMC meeting,2015,7,29,14,0
FOMC meeting,2015,9,17,14,0
FOMC meeting,2015,10,28,14,0
FOMC meeting,2015,12,16,14,0
FOMC meeting,2016,1,27,14,0
FOMC meeting,2016,3,16,14,0
FOMC meeting,2016,4,27,14,0
FOMC meeting,2016,6,15,14,0
FOMC meeting,2016,7,27,14,0
FOMC meeting,2016,9,21,14,0
FOMC meeting,2016,11,2,14,0
FOMC meeting,2016,12,14,14,0
FOMC meeting,2017,2,1,14,0
FOMC meeting,2017,3,15,14,0
FOMC meeting,2017,5,3,14,0
FOMC meeting,2017,6,14,14,0
FOMC meeting,2017,7,26,14,0
FOMC meeting,2017,9,20,14,0
FOMC meeting,2017,11,1,14,0
FOMC meeting,2017,12,13,14,0
FOMC meeting,2018,1,31,14,0
FOMC meeting,2018,3,21,14,0
FOMC meeting,2018,5,2,14,0
FOMC meeting,2018,6,13,14,0
FOMC meeting,2018,8,1,14,0
FOMC meeting,2018,9,26,14,0
FOMC meeting,2018,11,8,14,0
FOMC meeting,2018,12,19,14,0
FOMC meeting,2019,1,30,14,0
FOMC meeting,2019,3,20,14,0
FOMC meeting,2019,5,1,14,0
FOMC meeting,2019,6,19,14,0
FOMC meeting,2019,7,31,14,0
FOMC meeting,2019,9,18,14,0
FOMC meeting,2019,10,30,14,0
