releasedate,release,releaseyear,releasemonth,releaseday,releasehour,releaseminute,coveredyear,coveredperiod,freq
1994-02-04 08:30:00,Employment Situation,1994,2,4,8,30,1994,1,12
1994-03-04 08:30:00,Employment Situation,1994,3,4,8,30,1994,2,12
1994-04-01 08:30:00,Employment Situation,1994,4,1,8,30,1994,3,12
1994-05-06 08:30:00,Employment Situation,1994,5,6,8,30,1994,4,12
1994-06-03 08:30:00,Employment Situation,1994,6,3,8,30,1994,5,12
1994-07-08 08:30:00,Employment Situation,1994,7,8,8,30,1994,6,12
1994-08-05 08:30:00,Employment Situation,1994,8,5,8,30,1994,7,12
1994-09-02 08:30:00,Employment Situation,1994,9,2,8,30,1994,8,12
1994-10-07 08:30:00,Employment Situation,1994,10,7,8,30,1994,9,12
1994-11-04 08:30:00,Employment Situation,1994,11,4,8,30,1994,10,12
1994-12-02 08:30:00,Employment Situation,1994,12,2,8,30,1994,11,12
1995-01-06 08:30:00,Employment Situation,1995,1,6,8,30,1994,12,12
1995-02-03 08:30:00,Employment Situation,1995,2,3,8,30,1995,1,12
1995-03-10 08:30:00,Employment Situation,1995,3,10,8,30,1995,2,12
1995-04-07 08:30:00,Employment Situation,1995,4,7,8,30,1995,3,12
1995-05-05 08:30:00,Employment Situation,1995,5,5,8,30,1995,4,12
1995-06-02 08:30:00,Employment Situation,1995,6,2,8,30,1995,5,12
1995-07-07 08:30:00,Employment Situation,1995,7,7,8,30,1995,6,12
1995-08-04 08:30:00,Employment Situation,1995,8,4,8,30,1995,7,12
1995-09-01 08:30:00,Employment Situation,1995,9,1,8,30,1995,8,12
1995-10-06 08:30:00,Employment Situation,1995,10,6,8,30,1995,9,12
1995-11-03 08:30:00,Employment Situation,1995,11,3,8,30,1995,10,12
1995-12-08 08:30:00,Employment Situation,1995,12,8,8,30,1995,11,12
1996-01-19 08:30:00,Employment Situation,1996,1,19,8,30,1995,12,12
1996-02-02 08:30:00,Employment Situation,1996,2,2,8,30,1996,1,12
1996-03-08 08:30:00,Employment Situation,1996,3,8,8,30,1996,2,12
1996-04-05 08:30:00,Employment Situation,1996,4,5,8,30,1996,3,12
1996-05-03 08:30:00,Employment Situation,1996,5,3,8,30,1996,4,12
1996-06-07 08:30:00,Employment Situation,1996,6,7,8,30,1996,5,12
1996-07-05 08:30:00,Employment Situation,1996,7,5,8,30,1996,6,12
1996-08-02 08:30:00,Employment Situation,1996,8,2,8,30,1996,7,12
1996-09-06 08:30:00,Employment Situation,1996,9,6,8,30,1996,8,12
1996-10-04 08:30:00,Employment Situation,1996,10,4,8,30,1996,9,12
1996-11-01 08:30:00,Employment Situation,1996,11,1,8,30,1996,10,12
1996-12-06 08:30:00,Employment Situation,1996,12,6,8,30,1996,11,12
1997-01-10 08:30:00,Employment Situation,1997,1,10,8,30,1996,12,12
1997-02-07 08:30:00,Employment Situation,1997,2,7,8,30,1997,1,12
1997-03-07 08:30:00,Employment Situation,1997,3,7,8,30,1997,2,12
1997-04-04 08:30:00,Employment Situation,1997,4,4,8,30,1997,3,12
1997-05-02 08:30:00,Employment Situation,1997,5,2,8,30,1997,4,12
1997-06-06 08:30:00,Employment Situation,1997,6,6,8,30,1997,5,12
1997-07-09 08:30:00,Employment Situation,1997,7,9,8,30,1997,6,12
1997-08-01 08:30:00,Employment Situation,1997,8,1,8,30,1997,7,12
1997-09-05 08:30:00,Employment Situation,1997,9,5,8,30,1997,8,12
1997-10-03 08:30:00,Employment Situation,1997,10,3,8,30,1997,9,12
1997-11-07 08:30:00,Employment Situation,1997,11,7,8,30,1997,10,12
1997-12-05 08:30:00,Employment Situation,1997,12,5,8,30,1997,11,12
1998-01-09 08:30:00,Employment Situation,1998,1,9,8,30,1997,12,12
1998-02-06 08:30:00,Employment Situation,1998,2,6,8,30,1998,1,12
1998-03-06 08:30:00,Employment Situation,1998,3,6,8,30,1998,2,12
1998-04-03 08:30:00,Employment Situation,1998,4,3,8,30,1998,3,12
1998-05-08 08:30:00,Employment Situation,1998,5,8,8,30,1998,4,12
1998-06-05 08:30:00,Employment Situation,1998,6,5,8,30,1998,5,12
1998-07-02 08:30:00,Employment Situation,1998,7,2,8,30,1998,6,12
1998-08-07 08:30:00,Employment Situation,1998,8,7,8,30,1998,7,12
1998-09-04 08:30:00,Employment Situation,1998,9,4,8,30,1998,8,12
1998-10-02 08:30:00,Employment Situation,1998,10,2,8,30,1998,9,12
1998-11-05 08:30:00,Employment Situation,1998,11,5,8,30,1998,10,12
1998-12-04 08:30:00,Employment Situation,1998,12,4,8,30,1998,11,12
1999-01-07 08:30:00,The Employment Situation,1999,1,7,8,30,1950,1,0
1999-01-08 08:30:00,Employment Situation,1999,1,8,8,30,1998,12,12
1999-01-08 08:30:00,The Employment Situation,1999,1,8,8,30,1950,1,0
1999-01-12 08:30:00,U.S. Import and Export Price Indexes,1999,1,12,8,30,1950,1,0
1999-01-13 08:30:00,Producer Price Indexes,1999,1,13,8,30,1950,1,0
1999-01-14 08:30:00,Consumer Price Index,1999,1,14,8,30,1950,1,0
1999-01-14 08:30:00,Real Earnings,1999,1,14,8,30,1950,1,0
1999-01-14 10:00:00,Real Earnings,1999,1,14,10,0,1950,1,0
1999-01-15 10:00:00,U.S. Import and Export Price Indexes,1999,1,15,10,0,1950,1,0
1999-01-21 10:00:00,Regional and State Employment and Unemployment,1999,1,21,10,0,1950,1,0
1999-01-22 10:00:00,Regional and State Employment and Unemployment,1999,1,22,10,0,1950,1,0
1999-01-27 08:30:00,Employment Cost Index,1999,1,27,8,30,1950,1,0
1999-01-28 08:30:00,Employment Cost Index,1999,1,28,8,30,1950,1,0
1999-02-02 10:00:00,Metropolitan Area Employment and Unemployment,1999,2,2,10,0,1950,1,0
1999-02-03 10:00:00,Metropolitan Area Employment and Unemployment,1999,2,3,10,0,1950,1,0
1999-02-05 08:30:00,Employment Situation,1999,2,5,8,30,1999,1,12
1999-02-05 08:30:00,The Employment Situation,1999,2,5,8,30,1950,1,0
1999-02-09 10:00:00,Productivity and Costs,1999,2,9,10,0,1950,1,0
1999-02-17 10:00:00,U.S. Import and Export Price Indexes,1999,2,17,10,0,1950,1,0
1999-02-18 08:30:00,Producer Price Indexes,1999,2,18,8,30,1950,1,0
1999-02-19 08:30:00,Consumer Price Indexes,1999,2,19,8,30,1950,1,0
1999-02-19 10:00:00,Real Earnings,1999,2,19,10,0,1950,1,0
1999-03-04 10:00:00,Regional and State Employment and Unemployment,1999,3,4,10,0,1950,1,0
1999-03-05 08:30:00,Employment Situation,1999,3,5,8,30,1999,2,12
1999-03-05 08:30:00,The Employment Situation,1999,3,5,8,30,1950,1,0
1999-03-09 10:00:00,Productivity and Costs,1999,3,9,10,0,1950,1,0
1999-03-11 10:00:00,U.S. Import and Export Price Indexes,1999,3,11,10,0,1950,1,0
1999-03-12 08:30:00,Producer Price Indexes,1999,3,12,8,30,1950,1,0
